Series Name,Country Name,Country Code,Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Afghanistan,AFG,South Asia,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Albania,ALB,Europe & Central Asia,11.04447115,10.51959135,9.994711539,9.469831731,8.944951923,8.420072115,7.646754808,7.4984375,7.350120192,7.201802885,7.053485577,6.905168269,6.756850962,6.608533654,6.460216346,5.528846154,6.5625,6.556490385,5.757211539,6.796875,4.723557692,4.783653846
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Algeria,DZA,Middle East & North Africa,79.26116377,81.71052014,85.03737246,87.52280082,90.00822919,92.49365755,94.97908592,97.46451429,99.94994265,102.435371,104.9207994,107.4062277,109.7509498,115.1634539,120.575958,125.9884621,129.8719572,137.9203602,137.9203602,137.9203602,137.9203602,137.9203602
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Angola,AGO,Sub-Saharan Africa,1.69867374,1.73331565,1.76795756,1.80259947,1.837241379,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Antigua and Barbuda,ATG,Latin America & Caribbean,7.628205128,8.064102564,8.5,8.935897436,9.371794872,9.807692308,9.615384615,9.423076923,9.230769231,9.038461539,8.846153846,8.653846154,8.461538462,8.461538462,8.461538462,8.461538462,8.461538462,8.461538462,8.461538462,8.461538462,8.461538462,8.461538462
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Argentina,ARG,Latin America & Caribbean,8.424904284,8.609566843,8.794229401,8.97889196,9.163554519,9.348217078,9.532879637,9.717542196,9.902204755,10.08686731,10.27152987,10.45666408,10.45666408,10.45666408,10.45666408,10.45666408,10.45666408,10.45666408,10.45666408,10.45666408,10.45666408,10.45666408
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Armenia,ARM,Europe & Central Asia,37.74460359,34.81944725,34.9404882,39.86282025,50.49425055,55.90074642,57.03046197,60.762558,57.95844261,49.70748437,42.88884406,49.18297357,59.33024006,59.61266895,57.69618721,66.00766593,64.19205164,57.79705467,54.75085737,57.79705467,57.09098245,59.85475086
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Australia,AUS,East Asia & Pacific,8.70898271,8.658624849,8.37708082,8.095536791,7.813992762,7.532448733,7.059368717,6.586288701,6.113208685,5.640128669,5.297547246,5.313630881,6.380377965,7.699236027,7.42380378,3.707277845,4.271411339,4.84866963,4.957780458,4.246079614,3.486127865,4.599919582
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Austria,AUT,Europe & Central Asia,10.0469743,9.966841669,9.883945841,9.853896104,9.823846366,9.793796629,9.763746891,9.733697154,9.703647416,9.673597679,9.643547941,9.536090387,9.428632833,9.321175279,9.213717724,9.10626017,8.998802616,8.891345062,8.783887507,8.676429953,8.676429953,8.676429953
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Azerbaijan,AZE,Europe & Central Asia,48.5316847,43.81982778,43.80216383,46.44733937,49.34864208,52.10863325,53.62773239,53.36718923,50.91631707,49.19408258,48.44336498,49.88297637,52.88143078,52.96533451,51.19010819,51.61845882,52.45308015,53.52174873,53.72930007,55.59726209,53.88862884,57.26588651
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Bahrain,BHR,South Asia,248.910809,234.7623784,220.6139478,205.7758621,201.1050157,196.4341693,191.7633229,187.0924765,182.4216301,177.7507837,173.0799373,168.4090909,163.7382445,159.0673981,154.3965517,137.1551724,133.7068966,133.7068966,133.7068966,133.7068966,133.7068966,133.7068966
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Bangladesh,BGD,South Asia,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Barbados,BRB,Latin America & Caribbean,101.25,101.25,101.25,101.25,101.25,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Belarus,BLR,Europe & Central Asia,6.05471325,5.968358603,5.882003955,5.795649308,5.709294661,5.622940013,5.51878708,5.414634146,5.310481213,5.20632828,5.102175346,5.064820919,5.027466491,4.990112063,5.177982861,4.772577456,4.785761371,4.604482531,4.581410679,4.475939354,4.377059987,4.696769941
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Belgium,BEL,Europe & Central Asia,92.54422604,87.64619165,82.74815725,81.31654382,79.88493038,78.45331695,77.39619165,76.33906634,75.29484029,73.73464373,73.13267813,62.43243243,65.11056511,59.32432432,55.97051597,49.06633907,51.5115519,53.95676474,51.28992629,51.58476658,51.87960688,51.87960688
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Belize,BLZ,Latin America & Caribbean,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Benin,BEN,Sub-Saharan Africa,1.000361698,0.975243811,0.975243811,0.975243811,0.975243811,0.975243811,0.975243811,0.975243811,0.975243811,0.975243811,0.975243811,0.975243811,0.975243811,0.975243811,0.975243811,0.975243811,0.975243811,0.975243811,0.975243811,0.975243811,0.975243811,0.975243811
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Bhutan,BTN,South Asia,1.413807531,1.413807531,1.413807531,1.413807531,1.413807531,1.413807531,1.413807531,1.413807531,1.413807531,1.413807531,1.413807531,1.413807531,1.413807531,1.413807531,1.413807531,1.413807531,1.413807531,1.413807531,1.413807531,1.413807531,1.413807531,1.413807531
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Bolivia,BOL,Latin America & Caribbean,1.109499732,1.117995058,1.126490383,1.134985708,1.143481034,1.151976359,1.160471684,1.168967009,1.177001127,1.177001127,1.183554927,1.190108726,1.196662525,1.203216325,1.209770124,1.216323923,1.222877723,1.229431522,1.235985321,1.242539121,1.245288557,1.2429031
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Bosnia and Herzegovina,BIH,Europe & Central Asia,2.468791501,2.480743692,2.493359894,2.505976096,2.516600266,2.514608234,2.525896414,2.586985392,2.602257636,2.854581673,2.891102258,2.812749004,2.906374502,2.8937583,2.738379814,2.778884462,2.786188579,2.662018592,2.071713147,2.028552457,1.999521912,2.034840638
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Botswana,BWA,Sub-Saharan Africa,2.028652097,2.031694124,2.034736152,2.037778179,2.040820207,2.043862234,2.046904262,2.049946289,2.052988317,2.056030344,2.059072372,2.062114399,2.032834885,1.998849733,1.964864582,1.964864582,2.104987975,2.018195127,2.133221792,2.112307853,2.305004706,2.442972916
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Brazil,BRA,Latin America & Caribbean,2.652955083,2.668085106,2.68321513,2.698345154,2.713475177,2.728605201,2.743735225,2.941843972,3.139527187,3.337393617,3.535260047,3.419178487,3.303096927,3.187015366,3.074326241,3.019385343,3.135224586,3.105437352,1.464112726,1.484808454,1.479304271,1.481946279
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Brunei Darussalam,BRN,East Asia & Pacific,3.466465712,3.466465712,3.466465712,3.466465712,3.466465712,3.466465712,3.466465712,3.466465712,3.466465712,3.466465712,3.466465712,3.466465712,3.466465712,3.466465712,3.466465712,3.466465712,3.466465712,3.466465712,3.466465712,3.466465712,3.466465712,3.466465712
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Bulgaria,BGR,Europe & Central Asia,45.33003178,43.11774706,48.70056915,48.12861261,47.55665607,46.98469953,46.412743,45.84078646,47.4905758,45.23837682,44.05351467,47.19491463,42.23963338,40.41688225,39.73686156,41.60987508,42.05041023,41.82127282,40.09904649,40.0768719,37.51940276,37.51940276
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Burkina Faso,BFA,Sub-Saharan Africa,6.195028681,6.520076482,6.845124283,7.170172084,7.495219885,7.820267686,7.820267686,7.820267686,7.820267686,7.820267686,7.820267686,7.820267686,7.820267686,7.820267686,7.820267686,7.820267686,7.820267686,7.820267686,7.820267686,7.820267686,7.820267686,7.820267686
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Burundi,BDI,Sub-Saharan Africa,10.48034935,10.42285298,10.36535662,10.30786026,10.2503639,10.19286754,10.19286754,10.19286754,10.19286754,10.19286754,10.19286754,10.19286754,10.19286754,10.19286754,10.19286754,10.19286754,10.19286754,10.19286754,10.19286754,10.19286754,10.19286754,10.19286754
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Cabo Verde,CPV,Sub-Saharan Africa,6.91763,7.183333333,8.534208704,9.885084074,11.23595944,13.60403437,15.9721093,18.34018422,20.70825915,23.07633407,25.444409,27.81248393,30.18055885,32.54863378,34.9167087,37.28478363,39.65285856,42.02093348,44.38900841,48.95751,68.94373667,57.17750667
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Cambodia,KHM,East Asia & Pacific,1.036544851,1.036544851,1.036544851,1.036544851,1.036544851,1.036544851,1.036544851,1.036544851,1.036544851,1.036544851,1.036544851,1.036544851,1.036544851,1.036544851,1.036544851,1.036544851,1.036544851,1.036544851,1.036544851,1.036544851,1.036544851,1.036544851
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Cameroon,CMR,Sub-Saharan Africa,1.385519713,1.420501792,1.455483871,1.49046595,1.525448029,1.560430108,1.560430108,1.560430108,1.560430108,1.560430108,1.560430108,1.560430108,1.560430108,1.560430108,1.560430108,1.560430108,1.560430108,1.560430108,1.560430108,1.560430108,1.560430108,1.560430108
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Canada,CAN,North America,4.313699092,4.305331898,4.296964704,4.28859751,4.280230316,4.271863121,4.263495927,4.255128733,4.125365603,3.995602472,3.830962925,3.666323378,3.752832132,3.839340886,3.759526262,3.679711638,3.706642637,3.733573635,3.733573635,3.733573635,3.733573635,3.733573635
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Central African Republic,CAF,Sub-Saharan Africa,0.306481482,0.312314815,0.318148148,0.323981482,0.329814815,0.335648148,0.335648148,0.335648148,0.335648148,0.335648148,0.335648148,0.335648148,0.335648148,0.335648148,0.335648148,0.335648148,0.335648148,0.335648148,0.335648148,0.335648148,0.335648148,0.335648148
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Chad,TCD,Sub-Saharan Africa,3.805208333,4.005533854,4.205859375,4.235546875,4.265234375,4.294921875,4.294921875,4.294921875,4.294921875,4.294921875,4.294921875,4.294921875,4.294921875,4.294921875,4.294921875,4.294921875,4.294921875,4.294921875,4.294921875,4.294921875,4.294921875,4.294921875
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Chile,CHL,Latin America & Caribbean,7.348798398,7.622176489,7.89555458,8.159974169,8.433345911,8.706717653,8.980089395,8.982121089,8.982121089,8.982121089,8.982121089,8.982121089,8.982121089,8.982121089,8.982121089,8.982121089,8.982121089,8.982121089,8.982121089,8.982121089,8.982121089,8.982121089
